time,fgr,path,case,name
12855.0,0.1962039,run_calibration/0/interramp/HS2,0,HS2
6803.0,0.0852506,run_calibration/0/interramp/TR1,0,TR1
5961.0,0.1733939,run_calibration/0/interramp/DR1,0,DR1
13036.0,0.3018322,run_calibration/0/interramp/HR4,0,HR4
12832.0,0.2356855,run_calibration/0/interramp/HS1,0,HS1
5961.0,0.06533926,run_calibration/0/interramp/LS3,0,LS3
6803.0,0.2055791,run_calibration/0/interramp/LS2,0,LS2
13036.0,0.3309289,run_calibration/0/interramp/HR5,0,HR5
12856.6904296875,0.4272563,run_calibration/0/interramp/BR1,0,BR1
6283.0,0.1614316,run_calibration/0/interramp/LR1,0,LR1
13036.0,0.1139472,run_calibration/0/interramp/HR2,0,HR2
23731.787109375,0.07215403,run_calibration/0/superramp/PW3-3,0,PW3-3
21093.0,0.3306792,run_calibration/0/superramp/PK1-3,0,PK1-3
28159.537109375,0.3613517,run_calibration/0/superramp/PK2-2,0,PK2-2
28147.0,0.1737058,run_calibration/0/superramp/PK2-4,0,PK2-4
22070.650390625,0.1659762,run_calibration/0/superramp/PK6-4,0,PK6-4
23731.19921875,0.05281211,run_calibration/0/superramp/PW3-2,0,PW3-2
28159.546875,0.4035636,run_calibration/0/superramp/PK2-3,0,PK2-3
21089.0,0.2247833,run_calibration/0/superramp/PK1-1,0,PK1-1
21089.0,0.2247833,run_calibration/0/superramp/PK1-1,0,PK1-1
21089.0,0.2247833,run_calibration/0/superramp/PK1-1,0,PK1-1
28157.0,0.2742913,run_calibration/0/superramp/PK2-1,0,PK2-1
21092.0,0.2687243,run_calibration/0/superramp/PK1-2,0,PK1-2
21278.6328125,0.1284929,run_calibration/0/superramp/PK6-3,0,PK6-3
21092.0,0.3141791,run_calibration/0/superramp/PK1-4,0,PK1-4
14418.216796875,0.1314627,run_calibration/0/overramp/G20-2,0,G20-2
14386.61328125,0.02682563,run_calibration/0/overramp/G20-4,0,G20-4
14409.9990234375,0.09187613,run_calibration/0/overramp/G20-1,0,G20-1
14797.0224609375,0.263263,run_calibration/0/overramp/A20-1,0,A20-1
14789.7158203125,0.3426357,run_calibration/0/overramp/A20-3,0,A20-3
14789.388671875,0.3346034,run_calibration/0/overramp/A20-4,0,A20-4
7385.34814453125,0.3291214,run_calibration/0/overramp/A10-3,0,A10-3
7379.87353515625,0.3043737,run_calibration/0/overramp/A10-4,0,A10-4
12855.0,0.1502058,run_calibration/1/interramp/HS2,1,HS2
6803.0,0.07461286,run_calibration/1/interramp/TR1,1,TR1
5961.0,0.1375075,run_calibration/1/interramp/DR1,1,DR1
13036.0,0.2533248,run_calibration/1/interramp/HR4,1,HR4
12832.0,0.1866895,run_calibration/1/interramp/HS1,1,HS1
5961.0,0.05026007,run_calibration/1/interramp/LS3,1,LS3
6803.0,0.1553573,run_calibration/1/interramp/LS2,1,LS2
13036.0,0.2958476,run_calibration/1/interramp/HR5,1,HR5
12856.6904296875,0.392457,run_calibration/1/interramp/BR1,1,BR1
6283.0,0.1106701,run_calibration/1/interramp/LR1,1,LR1
13036.0,0.08729941,run_calibration/1/interramp/HR2,1,HR2
23731.787109375,0.05741341,run_calibration/1/superramp/PW3-3,1,PW3-3
21093.0,0.3015593,run_calibration/1/superramp/PK1-3,1,PK1-3
28159.537109375,0.3352191,run_calibration/1/superramp/PK2-2,1,PK2-2
28147.0,0.1468857,run_calibration/1/superramp/PK2-4,1,PK2-4
22070.650390625,0.1274934,run_calibration/1/superramp/PK6-4,1,PK6-4
23731.19921875,0.0403753,run_calibration/1/superramp/PW3-2,1,PW3-2
28159.546875,0.3799389,run_calibration/1/superramp/PK2-3,1,PK2-3
21089.0,0.1875283,run_calibration/1/superramp/PK1-1,1,PK1-1
21089.0,0.1875283,run_calibration/1/superramp/PK1-1,1,PK1-1
21089.0,0.1875283,run_calibration/1/superramp/PK1-1,1,PK1-1
28157.0,0.2441639,run_calibration/1/superramp/PK2-1,1,PK2-1
21092.0,0.2316079,run_calibration/1/superramp/PK1-2,1,PK1-2
21278.6328125,0.09643384,run_calibration/1/superramp/PK6-3,1,PK6-3
21092.0,0.2880892,run_calibration/1/superramp/PK1-4,1,PK1-4
14418.216796875,0.09511339,run_calibration/1/overramp/G20-2,1,G20-2
14386.61328125,0.01870121,run_calibration/1/overramp/G20-4,1,G20-4
14409.9990234375,0.06334405,run_calibration/1/overramp/G20-1,1,G20-1
14797.0224609375,0.2305921,run_calibration/1/overramp/A20-1,1,A20-1
14789.7158203125,0.3126307,run_calibration/1/overramp/A20-3,1,A20-3
14789.388671875,0.3052608,run_calibration/1/overramp/A20-4,1,A20-4
7385.34814453125,0.3105753,run_calibration/1/overramp/A10-3,1,A10-3
7379.87353515625,0.2859516,run_calibration/1/overramp/A10-4,1,A10-4
12855.0,0.07665584,run_calibration/2/interramp/HS2,2,HS2
6803.0,0.05178262,run_calibration/2/interramp/TR1,2,TR1
5961.0,0.06678222,run_calibration/2/interramp/DR1,2,DR1
13036.0,0.1103759,run_calibration/2/interramp/HR4,2,HR4
12832.0,0.08997629,run_calibration/2/interramp/HS1,2,HS1
5961.0,0.02345279,run_calibration/2/interramp/LS3,2,LS3
6803.0,0.06189769,run_calibration/2/interramp/LS2,2,LS2
13036.0,0.2342015,run_calibration/2/interramp/HR5,2,HR5
12856.6904296875,0.3121013,run_calibration/2/interramp/BR1,2,BR1
6283.0,0.05336355,run_calibration/2/interramp/LR1,2,LR1
13036.0,0.04905405,run_calibration/2/interramp/HR2,2,HR2
23731.787109375,0.04115186,run_calibration/2/superramp/PW3-3,2,PW3-3
21093.0,0.2824109,run_calibration/2/superramp/PK1-3,2,PK1-3
28159.537109375,0.3215638,run_calibration/2/superramp/PK2-2,2,PK2-2
28147.0,0.124685,run_calibration/2/superramp/PK2-4,2,PK2-4
22070.650390625,0.06484497,run_calibration/2/superramp/PK6-4,2,PK6-4
23731.19921875,0.02383677,run_calibration/2/superramp/PW3-2,2,PW3-2
28159.546875,0.3699786,run_calibration/2/superramp/PK2-3,2,PK2-3
21089.0,0.1436719,run_calibration/2/superramp/PK1-1,2,PK1-1
21089.0,0.1436719,run_calibration/2/superramp/PK1-1,2,PK1-1
21089.0,0.1436719,run_calibration/2/superramp/PK1-1,2,PK1-1
28157.0,0.2200448,run_calibration/2/superramp/PK2-1,2,PK2-1
21092.0,0.202229,run_calibration/2/superramp/PK1-2,2,PK1-2
21278.6328125,0.04487349,run_calibration/2/superramp/PK6-3,2,PK6-3
21092.0,0.2737476,run_calibration/2/superramp/PK1-4,2,PK1-4
14418.216796875,0.02741916,run_calibration/2/overramp/G20-2,2,G20-2
14386.61328125,0.006648684,run_calibration/2/overramp/G20-4,2,G20-4
14409.9990234375,0.01586237,run_calibration/2/overramp/G20-1,2,G20-1
14797.0224609375,0.1910427,run_calibration/2/overramp/A20-1,2,A20-1
14789.7158203125,0.2855706,run_calibration/2/overramp/A20-3,2,A20-3
14789.388671875,0.2806153,run_calibration/2/overramp/A20-4,2,A20-4
7385.34814453125,0.296686,run_calibration/2/overramp/A10-3,2,A10-3
7379.87353515625,0.2787348,run_calibration/2/overramp/A10-4,2,A10-4
12855.0,0.1495362,run_calibration/3/interramp/HS2,3,HS2
6803.0,0.07331681,run_calibration/3/interramp/TR1,3,TR1
5961.0,0.1343951,run_calibration/3/interramp/DR1,3,DR1
13036.0,0.2471626,run_calibration/3/interramp/HR4,3,HR4
12832.0,0.1863996,run_calibration/3/interramp/HS1,3,HS1
5961.0,0.05082131,run_calibration/3/interramp/LS3,3,LS3
6803.0,0.149619,run_calibration/3/interramp/LS2,3,LS2
13036.0,0.2893668,run_calibration/3/interramp/HR5,3,HR5
12856.6904296875,0.3886045,run_calibration/3/interramp/BR1,3,BR1
6283.0,0.1089473,run_calibration/3/interramp/LR1,3,LR1
13036.0,0.08976248,run_calibration/3/interramp/HR2,3,HR2
23731.787109375,0.06005295,run_calibration/3/superramp/PW3-3,3,PW3-3
21093.0,0.2957163,run_calibration/3/superramp/PK1-3,3,PK1-3
28159.537109375,0.3329361,run_calibration/3/superramp/PK2-2,3,PK2-2
28147.0,0.1424405,run_calibration/3/superramp/PK2-4,3,PK2-4
22070.650390625,0.1298866,run_calibration/3/superramp/PK6-4,3,PK6-4
23731.19921875,0.04433953,run_calibration/3/superramp/PW3-2,3,PW3-2
28159.546875,0.3788906,run_calibration/3/superramp/PK2-3,3,PK2-3
21089.0,0.1834438,run_calibration/3/superramp/PK1-1,3,PK1-1
21089.0,0.1834438,run_calibration/3/superramp/PK1-1,3,PK1-1
21089.0,0.1834438,run_calibration/3/superramp/PK1-1,3,PK1-1
28157.0,0.2397191,run_calibration/3/superramp/PK2-1,3,PK2-1
21092.0,0.2257605,run_calibration/3/superramp/PK1-2,3,PK1-2
21278.6328125,0.1007985,run_calibration/3/superramp/PK6-3,3,PK6-3
21092.0,0.2833174,run_calibration/3/superramp/PK1-4,3,PK1-4
14418.216796875,0.09824026,run_calibration/3/overramp/G20-2,3,G20-2
14386.61328125,0.02255852,run_calibration/3/overramp/G20-4,3,G20-4
14409.9990234375,0.06685035,run_calibration/3/overramp/G20-1,3,G20-1
14797.0224609375,0.2277155,run_calibration/3/overramp/A20-1,3,A20-1
14789.7158203125,0.3100489,run_calibration/3/overramp/A20-3,3,A20-3
14789.388671875,0.3030866,run_calibration/3/overramp/A20-4,3,A20-4
7385.34814453125,0.3054737,run_calibration/3/overramp/A10-3,3,A10-3
7379.87353515625,0.2818441,run_calibration/3/overramp/A10-4,3,A10-4
12855.0,0.1967855,run_calibration/4/interramp/HS2,4,HS2
6803.0,0.08907045,run_calibration/4/interramp/TR1,4,TR1
5961.0,0.1800892,run_calibration/4/interramp/DR1,4,DR1
13036.0,0.3030295,run_calibration/4/interramp/HR4,4,HR4
12832.0,0.2355913,run_calibration/4/interramp/HS1,4,HS1
5961.0,0.06671555,run_calibration/4/interramp/LS3,4,LS3
6803.0,0.2066197,run_calibration/4/interramp/LS2,4,LS2
13036.0,0.3320352,run_calibration/4/interramp/HR5,4,HR5
12856.6904296875,0.4242334,run_calibration/4/interramp/BR1,4,BR1
6283.0,0.1644707,run_calibration/4/interramp/LR1,4,LR1
13036.0,0.1177426,run_calibration/4/interramp/HR2,4,HR2
23731.787109375,0.07554525,run_calibration/4/superramp/PW3-3,4,PW3-3
21093.0,0.3272054,run_calibration/4/superramp/PK1-3,4,PK1-3
28159.537109375,0.3583517,run_calibration/4/superramp/PK2-2,4,PK2-2
28147.0,0.1677805,run_calibration/4/superramp/PK2-4,4,PK2-4
22070.650390625,0.1712876,run_calibration/4/superramp/PK6-4,4,PK6-4
23731.19921875,0.05683918,run_calibration/4/superramp/PW3-2,4,PW3-2
28159.546875,0.4004901,run_calibration/4/superramp/PK2-3,4,PK2-3
21089.0,0.2239239,run_calibration/4/superramp/PK1-1,4,PK1-1
21089.0,0.2239239,run_calibration/4/superramp/PK1-1,4,PK1-1
21089.0,0.2239239,run_calibration/4/superramp/PK1-1,4,PK1-1
28157.0,0.2715137,run_calibration/4/superramp/PK2-1,4,PK2-1
21092.0,0.2663996,run_calibration/4/superramp/PK1-2,4,PK1-2
21278.6328125,0.1351041,run_calibration/4/superramp/PK6-3,4,PK6-3
21092.0,0.3107079,run_calibration/4/superramp/PK1-4,4,PK1-4
14418.216796875,0.1370086,run_calibration/4/overramp/G20-2,4,G20-2
14386.61328125,0.03097173,run_calibration/4/overramp/G20-4,4,G20-4
14409.9990234375,0.09767665,run_calibration/4/overramp/G20-1,4,G20-1
